genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Tilia,americana,87757,2016,42.296417,-71.128052,26,94,NA,NA,118,280,280,280,46,366,Treespotters
Tilia,americana,87757,2017,42.296417,-71.128052,26,109,161,184,116,270,270,270,46,365,Treespotters
Tilia,americana,87757,2018,42.296417,-71.128052,26,123,NA,246,124,260,262,262,46,365,Treespotters
Tilia,americana,87757,2019,42.296417,-71.128052,26,113,140,248,123,260,276,276,46,365,Treespotters
Tilia,americana,87757,2020,42.296417,-71.128052,26,123,147,188,125,260,260,260,46,366,Treespotters
Tilia,americana,87762,2016,42.305161,-71.122452,13,111,154,199,115,215,290,290,46,366,Treespotters
Tilia,americana,87762,2017,42.305161,-71.122452,13,101,127,186,107,301,301,301,46,365,Treespotters
Tilia,americana,87762,2018,42.305161,-71.122452,13,117,141,192,122,246,234,234,46,365,Treespotters
Tilia,americana,87762,2019,42.305161,-71.122452,13,109,138,190,111,185,243,243,46,365,Treespotters
Tilia,americana,87762,2020,42.305161,-71.122452,13,112,NA,206,126,229,229,229,46,366,Treespotters
Tilia,americana,87763,2016,42.305161,-71.122452,13,105,152,193,115,252,281,281,46,366,Treespotters
Tilia,americana,87763,2017,42.305161,-71.122452,13,106,127,NA,107,234,234,234,46,365,Treespotters
Tilia,americana,87763,2018,42.305161,-71.122452,13,118,131,NA,122,234,227,227,46,365,Treespotters
Tilia,americana,87763,2019,42.305161,-71.122452,13,111,138,197,111,214,244,244,46,365,Treespotters
Tilia,americana,87763,2020,42.305161,-71.122452,13,108,145,189,119,220,229,229,46,366,Treespotters
Vaccinium,corymbosum,166768,2019,42.302277,-71.125732,36,107,92,147,111,224,257,257,46,365,Treespotters
Vaccinium,corymbosum,166768,2020,42.302277,-71.125732,36,80,106,152,125,268,NA,268,46,366,Treespotters
Vaccinium,corymbosum,166769,2019,42.302277,-71.125732,36,106,94,149,117,257,269,269,46,365,Treespotters
Vaccinium,corymbosum,166773,2020,42.302277,-71.125732,36,80,106,152,125,259,NA,259,46,366,Treespotters
Vaccinium,corymbosum,166774,2019,42.302277,-71.125732,36,104,92,160,117,245,279,279,46,365,Treespotters
Vaccinium,corymbosum,166775,2019,42.302277,-71.125732,36,105,92,160,111,224,250,250,46,365,Treespotters
Vaccinium,corymbosum,166775,2020,42.302277,-71.125732,36,80,102,153,120,250,263,263,46,366,Treespotters
Viburnum,nudum,169165,2019,42.302277,-71.125732,36,117,103,166,103,239,267,267,46,365,Treespotters
Viburnum,nudum,169165,2020,42.302277,-71.125732,36,97,113,162,100,244,NA,244,46,366,Treespotters
Viburnum,nudum,169166,2019,42.302277,-71.125732,36,101,103,166,103,220,267,267,46,365,Treespotters
Viburnum,nudum,169166,2020,42.302277,-71.125732,36,97,97,160,100,244,NA,244,46,366,Treespotters
