"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American beech",2016,"leafout",86273,157.47619047619,142,42,115,313,198,37.5
"American beech",2016,"leafout",86274,163.324324324324,147,37,115,313,198,29
"American beech",2016,"leafout",86275,178.949367088608,154,79,115,316,201,87
"American beech",2016,"leafout",86276,165.441176470588,146.5,34,118,313,195,38
"American beech",2016,"leafout",86277,166.763636363636,152,55,115,268,153,65.5
"American beech",2016,"Open flowers",86273,123.3,123,10,115,132,17,10.5
"American beech",2016,"Open flowers",86274,125,118,3,118,139,21,10.5
"American beech",2016,"Open flowers",86275,124.1875,125.5,16,115,133,18,11.25
"American beech",2016,"Open flowers",86277,125.090909090909,127,11,115,133,18,11.5
"American beech",2016,"Recent fruit or seed drop",86275,286,286,2,282,290,8,4
"American beech",2016,"Ripe fruits",86275,260.666666666667,252,3,248,282,34,17
"American beech",2017,"budburst",86273,114.333333333333,113,3,109,121,12,6
"American beech",2017,"budburst",86274,115.133333333333,113,15,103,129,26,10
"American beech",2017,"budburst",86275,122.590909090909,113.5,22,105,176,71,5.75
"American beech",2017,"budburst",86276,116.090909090909,117,11,108,126,18,8
"American beech",2017,"budburst",135343,112.6,113,10,107,118,11,2.25
"American beech",2017,"budburst",135911,115.714285714286,118,7,109,121,12,5
"American beech",2017,"Colored leaves",86274,298,299,8,287,306,19,11.25
"American beech",2017,"Colored leaves",86275,305.047619047619,305,21,256,330,74,19
"American beech",2017,"Colored leaves",86276,304.666666666667,304.5,6,287,323,36,2.5
"American beech",2017,"Colored leaves",135343,302.555555555556,304,9,285,325,40,19
"American beech",2017,"Colored leaves",135911,284.545454545455,291,22,247,319,72,44
"American beech",2017,"flowers",86273,113,113,1,113,113,0,0
"American beech",2017,"flowers",86274,122.666666666667,122,6,113,132,19,10.25
"American beech",2017,"flowers",86275,116.117647058824,117,17,107,126,19,5
"American beech",2017,"flowers",86276,120.8,118,5,113,129,16,8
"American beech",2017,"flowers",135343,115.846153846154,113,13,107,126,19,5
"American beech",2017,"flowers",135911,120.875,119.5,8,113,129,16,6.5
"American beech",2017,"Fruits",86274,206.4,197,5,183,253,70,9
"American beech",2017,"Fruits",86275,195.02380952381,182.5,42,140,279,139,64.25
"American beech",2017,"Fruits",86276,187.25,196,4,153,204,51,14.25
"American beech",2017,"Fruits",135343,204,196,16,136,256,120,70.75
"American beech",2017,"Fruits",135911,223.565217391304,232,23,152,279,127,50.5
"American beech",2017,"Increasing leaf size",86274,138.916666666667,137.5,12,121,166,45,15.75
"American beech",2017,"Increasing leaf size",86275,126,125,26,112,147,35,15.5
